id,bf,proper,ra,dec,dist,mag,absmag,spect,ci,bayer,flam,con
21861,Lam Pic,NA,4.712899,-50.481334,114.8106,5.3,0,K0/K1III,0.977,Lam,NA,Pic
21875,59    Per,NA,4.715089,43.365138,73.9645,5.3,0.955,A1Vn,0.028,NA,59,Per
21896,Mu  Men,NA,4.717764,-70.931027,150.6024,5.53,-0.359,B9IV,-0.114,Mu,NA,Men
21905,NA,NA,4.719249,-30.765557,196.8504,5.66,-0.811,K3III,1.391,NA,NA,Cae
21919,NA,NA,4.722665,49.973789,209.6436,5.86,-0.747,B9III,0.013,NA,NA,Per
21933,55    Eri,NA,4.726318,-8.794317,653.5948,5.98,-3.097,F4IIIp (Sr),0.645,NA,55,Eri
21971,56    Eri,NA,4.734811,-8.503571,100000,5.78,-14.22,B2Ve,-0.076,NA,56,Eri
21975,NA,NA,4.73555,-18.666586,93.8086,5.53,0.669,A1V,0.025,NA,NA,Eri
21987,Kap Dor,NA,4.739205,-59.732733,67.0241,5.28,1.149,A8/A9III/IV,0.206,Kap,NA,Dor
21991,NA,NA,4.740508,11.146137,45.8295,5.39,2.084,F0V,0.251,NA,NA,Ori
22033,NA,NA,4.751156,-21.283383,218.3406,5.72,-0.976,K4III,1.476,NA,NA,Eri
22056,57Mu  Eri,NA,4.758375,-3.254657,160,4.01,-2.011,B5IV,-0.148,Mu,57,Eri
22104,NA,NA,4.76715,11.705591,72.1501,5.35,1.059,Am...,0.197,NA,NA,Ori
22123,NA,NA,4.771341,18.734693,80.1925,5.99,1.469,K4III,1.221,NA,NA,Tau
22167,NA,NA,4.779021,40.31259,132.8021,5.99,0.374,G9III,0.934,NA,NA,Per
22210,58    Eri,NA,4.793413,-16.934456,13.2767,5.49,4.875,G3V,0.632,NA,58,Eri
22234,4    Cam,NA,4.800069,56.757183,52.7704,5.29,1.678,A3m,0.246,NA,4,Cam
22272,59    Eri,NA,4.809037,-16.329484,41.7188,5.76,2.658,F8V,0.537,NA,59,Eri
22283,NA,NA,4.810107,-5.674045,26.4201,5.77,3.66,F8V,0.631,NA,NA,Eri
22308,NA,NA,4.813968,75.941219,47.0588,5.96,2.597,A9IV,0.283,NA,NA,Cam
22340,NA,NA,4.820235,31.437375,65.8328,5.57,1.478,K2III,1.132,NA,NA,Aur
22354,NA,NA,4.821965,32.588191,83.7521,5.84,1.225,A8m,0.25,NA,NA,Aur
22396,1Pi 3Ori,NA,4.830669,6.961276,8.0684,3.19,3.656,F6V,0.484,Pi-3,1,Ori
22400,NA,NA,4.831846,37.488275,154.321,4.89,-1.052,K4II,1.447,NA,1,Aur
22426,60    Eri,NA,4.83656,-16.217159,72.3066,5.03,0.734,K0III,0.992,NA,60,Eri
22456,2Pi 2Ori,NA,4.843534,8.900176,68.8231,4.35,0.161,A1Vn,0.01,Pi-2,2,Ori
22478,Iot Pic,NA,4.848706,-53.461508,41.5628,5.58,2.486,F0IV...,0.341,Iot,NA,Pic
22492,NA,NA,4.852594,48.740685,97.1817,5.64,0.702,G9III,1.013,NA,NA,Aur
